Symbol,Date,Adj Close
AAPL,5/4/2016,89.098503
MSFT,4/7/2017,63.031605
MSFT,3/2/2017,61.428928
MSFT,10/16/2014,38.386864
IBM,1/13/2014,148.320389
IBM,11/7/2014,133.698624
AAPL,1/22/2015,103.978683
MSFT,3/5/2010,22.76088
MSFT,6/24/2014,37.264938
MSFT,1/20/2016,47.154358
MSFT,7/18/2011,21.777899
IBM,11/21/2016,146.445526
AAPL,12/20/2010,40.32362
IBM,6/25/2012,151.061646
IBM,7/13/2017,140.676086
IBM,3/25/2015,132.252304
MSFT,11/7/2013,32.741333
AAPL,1/20/2017,115.412643
AAPL,6/2/2010,33.032555
AAPL,3/23/2010,28.578577
AAPL,2/27/2009,11.176879
IBM,8/24/2009,89.055939
AAPL,7/8/2010,32.299198
MSFT,5/20/2016,47.665024
IBM,11/11/2016,145.096008
AAPL,1/27/2009,11.354589
MSFT,1/22/2009,13.247415
IBM,1/22/2016,105.159515
MSFT,11/24/2010,20.522078
IBM,12/7/2018,116.580742
AAPL,1/13/2010,26.362217
AAPL,1/13/2015,101.962006
IBM,8/31/2009,88.108047
AAPL,1/21/2011,40.888023
IBM,1/14/2013,152.180954
MSFT,2/26/2010,22.824564
IBM,1/27/2010,94.711105
AAPL,2/10/2014,68.877052
AAPL,6/21/2013,52.859688
MSFT,9/10/2018,108.04641
IBM,12/3/2018,122.412712
AAPL,9/13/2012,85.839882
AAPL,4/2/2014,70.642632
IBM,5/2/2012,162.287491
MSFT,3/28/2014,35.718719
MSFT,6/16/2017,67.562454
MSFT,5/31/2012,24.559099
AAPL,5/19/2015,121.304276
AAPL,11/9/2016,106.641281
AAPL,8/25/2016,102.929344
MSFT,1/6/2014,31.784431
AAPL,6/14/2016,92.753036
AAPL,10/5/2016,108.172951
IBM,2/11/2009,70.326759
AAPL,12/20/2012,65.872772
AAPL,12/7/2009,23.64653
IBM,11/14/2014,135.422775
MSFT,8/13/2013,28.140089
MSFT,6/17/2016,47.203636
IBM,9/29/2017,134.25061
MSFT,7/9/2012,25.240591
IBM,5/28/2014,149.122131
IBM,10/27/2009,90.048607
AAPL,8/18/2017,153.363708
MSFT,4/22/2013,26.54327
AAPL,2/22/2010,25.081959
AAPL,4/18/2016,101.670097
AAPL,6/5/2018,190.41156
MSFT,8/29/2018,110.654228
MSFT,2/17/2012,26.12089
AAPL,10/5/2012,82.02034
IBM,1/27/2012,147.983154
AAPL,8/21/2013,64.643097
MSFT,10/12/2011,22.220304
MSFT,4/28/2009,15.536595
IBM,3/15/2013,170.513962
AAPL,1/4/2011,41.459957
MSFT,6/19/2013,29.989286
AAPL,10/8/2010,36.801991
IBM,9/24/2009,90.265068
AAPL,12/2/2010,39.815521
IBM,1/3/2014,150.317719
MSFT,9/15/2010,20.195763
MSFT,12/9/2010,21.905319
MSFT,11/21/2013,32.901669
AAPL,4/13/2010,30.339388
AAPL,11/30/2012,73.896507
MSFT,7/24/2009,18.396746
AAPL,11/9/2009,25.212112
IBM,1/14/2010,99.194389
AAPL,7/26/2016,92.00119
IBM,6/15/2010,98.24131
AAPL,8/1/2017,145.537842
IBM,8/9/2013,150.460144
AAPL,5/9/2016,88.308601
MSFT,5/15/2012,25.417273
AAPL,12/9/2016,109.593918
MSFT,4/23/2010,24.647669
MSFT,3/22/2012,26.747787
IBM,4/1/2010,96.580605
MSFT,7/28/2014,39.24646
IBM,3/4/2014,150.979858
MSFT,5/9/2011,21.017681
IBM,7/3/2012,153.466278
AAPL,7/19/2016,95.046654
MSFT,12/29/2014,42.885925
MSFT,9/25/2018,113.054596
AAPL,5/3/2017,142.051422
MSFT,4/7/2009,14.624516
AAPL,9/29/2009,23.199755
AAPL,9/10/2009,21.595373
MSFT,12/29/2016,59.999939
IBM,10/2/2013,148.168976
AAPL,8/1/2016,100.928177
IBM,3/19/2014,149.578918
MSFT,1/27/2017,62.747162
AAPL,10/17/2012,81.017365
IBM,7/24/2014,159.026657
MSFT,10/20/2010,20.348516
IBM,11/2/2016,135.481613
IBM,9/1/2017,133.325241
MSFT,3/24/2010,23.604753
IBM,2/8/2012,150.501617
MSFT,8/16/2011,20.893353
IBM,8/14/2017,131.696625
MSFT,10/27/2016,56.94434
IBM,9/26/2012,160.469498
MSFT,10/6/2010,19.64102
MSFT,3/12/2013,24.029274
AAPL,4/6/2009,14.82366
MSFT,5/21/2012,25.030254
AAPL,12/3/2010,39.726658
IBM,2/13/2015,133.249191
MSFT,2/20/2009,14.032053
